Year,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,Single %,HR %,RBI,SB,CS,SB%,SBA per game,BB,SO,SO %,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1972,24,824,27.5,3.69,3718,139975,124828,13706,30434,4652,746,2534,0.739370,0.018103,12750,1807,1105,0.620536,0.7832168,11727,20718,0.148012,0.244,0.311,0.354,0.664,44180,2797,751,1758,883,1378
1973,24,710,27.7,4.21,3886,148795,132363,16376,34010,5224,790,3102,0.731961,0.020847,15254,2034,1213,0.626424,0.8355636,13100,20358,0.136819,0.257,0.325,0.379,0.704,50120,3129,755,1550,1009,1357
1974,24,741,27.4,4.12,3890,148856,132256,16046,33969,5206,847,2649,0.743825,0.017796,14858,2488,1383,0.642728,0.9951157,12963,19495,0.130965,0.257,0.324,0.369,0.693,48816,3083,774,1734,1104,1353
1975,24,726,27.4,4.21,3868,148623,131473,16295,33863,5443,887,2698,0.733396,0.018153,15153,2524,1369,0.648343,1.0064633,13402,19280,0.129724,0.258,0.327,0.374,0.701,49174,3014,761,1873,1087,1338
1976,24,706,27.6,3.99,3878,147603,131525,15492,33598,5240,966,2235,0.748765,0.015142,14363,3054,1544,0.664202,1.1856627,12391,18745,0.126996,0.255,0.32,0.361,0.681,47475,2910,684,1793,1183,1156
1977,26,738,27.4,4.47,4206,161547,143975,18803,38037,6441,1170,3644,0.704104,0.022557,17596,3017,1779,0.629066,1.1402758,13757,21722,0.134462,0.264,0.329,0.401,0.73,57750,3139,791,1764,1231,1297
1978,26,741,27.7,4.1,4204,159192,141567,17251,36508,6186,1020,2956,0.721650,0.018569,16098,3004,1617,0.650076,1.0991912,13566,20058,0.125999,0.258,0.323,0.379,0.702,53602,3076,772,1986,1274,1338
1979,26,723,28,4.46,4196,160378,142792,18713,37911,6415,1066,3433,0.712115,0.021406,17558,2983,1598,0.651168,1.0917541,13601,20035,0.124924,0.265,0.33,0.397,0.727,56757,3326,754,1896,1314,1366
1980,26,760,28.2,4.29,4210,161210,144160,18053,38144,6345,1076,3087,0.724518,0.019149,16928,3294,1610,0.671697,1.1648456,13190,20212,0.125377,0.265,0.326,0.388,0.714,55902,3362,657,1883,1296,1435
1981,26,729,28.6,4,2788,105892,94467,11147,24157,4000,659,1781,0.733411,0.016819,10451,2021,1100,0.647549,1.1194405,8868,13237,0.125005,0.256,0.32,0.369,0.689,34818,2208,464,1252,829,895
1982,26,743,28.7,4.3,4214,161104,144149,18110,37651,6316,964,3379,0.716900,0.020974,17019,3176,1617,0.662633,1.1373991,13302,21221,0.131722,0.261,0.324,0.389,0.713,56032,3147,677,1740,1221,1319
1983,26,782,28.7,4.31,4218,160615,143538,18170,37443,6463,1033,3301,0.711642,0.020552,17067,3325,1619,0.672532,1.1721195,13518,21716,0.135205,0.261,0.325,0.389,0.714,55875,3296,717,1561,1256,1379
1984,26,762,28.6,4.26,4210,160566,143829,17921,37381,6213,985,3258,0.720286,0.020291,16778,3032,1511,0.667400,1.0790974,13320,22500,0.140129,0.26,0.323,0.385,0.708,55338,3193,668,1435,1286,1270
1985,26,750,28.8,4.33,4206,160320,143075,18216,36778,6423,965,3602,0.701180,0.022468,17129,3097,1431,0.683966,1.0765573,13838,22451,0.140039,0.257,0.323,0.391,0.714,55937,3293,699,1549,1144,1337
1986,26,771,28.7,4.41,4206,160858,143106,18545,36880,6511,855,3813,0.696882,0.023704,17396,3312,1620,0.671533,1.1726106,14227,24706,0.153589,0.258,0.326,0.395,0.721,56540,3119,812,1515,1175,1289
1987,26,796,28.3,4.72,4210,161922,144095,19883,37895,6793,896,4458,0.679456,0.027532,18713,3585,1529,0.701017,1.2147268,14389,25099,0.155007,0.263,0.331,0.415,0.747,59854,3124,842,1455,1110,1287
